cod,dy_valor_em_perc,valor_total_patri_liq,valor_patr_cota_valor_em_rs,cota,ultimo_rendimento_valor_em_rs,nome_fundo,pvp
ABCP11,0.62,1080000000.0,88.55,68.26,0.42,Grand Plaza Shopping,0.7708639186900057
AFCR11,1.12,140620000.0,102.1,104.99,1.18,AF Invest FII Recebíveis Imobiliários,1.028305582761998
AFHI11,1.07,172880000.0,96.7,93.1,1.0,AF Invest CRI ,0.9627714581178903
AFOF11,0.82,67810000.0,98.1,81.99,0.67,Alianza FOF,0.8357798165137614
AIEC11,0.79,484940000.0,100.51,77.37,0.61,Autonomy Edifícios Corporativos,0.769774151825689
ALMI11,0.04,228950000.0,2059.37,1000.09,0.37,Torre Almirante,0.48562910016169997
ALZR11,0.58,643070000.0,108.59,115.6,0.67,Alianza Trust Renda Imobiliária,1.0645547472142922
ANCR11B,1.11,1520000000.0,3368.54,3366.0,37.53,Ancar IC,0.9992459641268918
ARCT11,0.93,164750000.0,103.12,100.0,0.93,Riza Arctium Real Estate,0.9697439875872769
ARRI11,1.14,100320000.0,95.69,96.99,1.11,Átrio Reit Recebíveis Imobiliários,1.0135855366286968
ATCR11,0.0,72800000.0,78.38,0.0,0.22,HAZ,0.0
ATSA11,0.25,172360000.0,98.43,101.99,0.25,Hedge Atrium Shopping Santo André,1.0361678350096515
BARI11,1.11,473870000.0,102.25,104.0,1.15,Barigui Rendimento Imobiliários I,1.017114914425428
BBFI11B,1.2,329120000.0,2531.67,2291.0,27.39,BB Progressivo,0.9049362673650199
BBFO11,0.83,356860000.0,89.13,72.03,0.6,BB Fundo de Fundos,0.8081454055873444
BBIM11,0.0,52560000.0,50.78,0.0,0.7,BB Recebiveis Imobiliários,0.0
BBPO11,0.88,1520000000.0,95.69,93.48,0.82,BB Progressivo II,0.9769045877312155
BBRC11,0.85,180050000.0,113.24,100.01,0.85,BB Renda Corporativa,0.8831684916990463
BCFF11,0.69,2009999999.9999998,79.86,72.4,0.5,BTG Pactual Fundo de Fundos,0.9065865264212373
